[00:00.13]  Sentate
[24:57.22]  tener
[24:57.71]  tiempo
[24:58.10]  y
[24:58.17]  de
[24:58.34]  querer
[24:58.85]  regalar
[24:59.60]  ese
[24:59.69]  tiempo
[25:00.27]  a
[25:00.28]  los
[25:00.54]  demás.
[25:01.29]  Las
[25:01.54]  recetas
[25:02.14]  están,
[25:02.81]  se
[25:02.98]  pueden
[25:03.49]  recuperar,
[25:04.46]  lo
[25:04.62]  difícil
[25:05.25]  de
[25:05.44]  recuperar
[25:06.11]  es
[25:06.43]  el
[25:06.48]  gesto.
[25:07.15]  La
[25:07.22]  abuela
[25:07.59]  revolviendo
[25:08.30]  el
[25:08.41]  dulce
[25:08.74]  de
[25:08.84]  leche,
[25:09.28]  los
[25:09.47]  nietos
[25:09.94]  armando
[25:10.46]  bolitas
[25:10.92]  de
[25:11.07]  coco,
[25:11.48]  el
[25:11.83]  caramelo
[25:12.23]  estirándose
[25:13.02]  entre
[25:13.37]  las
[25:13.58]  manos
[25:13.93]  frente
[25:14.36]  a
[25:14.43]  unos
[25:14.71]  ojos
[25:14.99]  asombrados.
[25:19.14]  Así
[25:19.48]  que
[25:19.68]  te
[25:19.83]  pido
[25:20.13]  lo
[25:20.28]  mismo,
[25:21.12]  este
[25:21.16]  fin
[25:21.43]  de
[25:21.50]  semana
[25:21.96]  o
[25:22.10]  cuando
[25:22.53]  puedas
[25:22.98]  elegí
[25:23.42]  uno
[25:23.64]  solo
[25:23.95]  de
[25:24.10]  estos
[25:24.58]  dulces
[25:25.08]  y
[25:25.15]  hacelo.
[25:25.67]  No
[25:25.80]  tiene
[25:26.15]  que
[25:26.34]  salir
[25:27.04]  perfecto.
[25:27.41]  Hace
[25:27.71]  unos
[25:27.98]  alfajores
[25:28.53]  de
[25:28.66]  maicena,
[25:29.30]  unos
[25:29.52]  bocaditos
[25:30.26]  de
[25:30.42]  coco,
[25:30.90]  un
[25:31.10]  arroz
[25:31.46]  con
[25:31.70]  leche.
[25:32.34]  Llama
[25:32.74]  a
[25:32.82]  alguien
[25:33.38]  que
[25:33.65]  quieras,
[25:34.34]  sobre
[25:34.74]  todo
[25:35.06]  a
[25:35.19]  un
[25:35.38]  chico,
[25:36.18]  si
[25:36.41]  hay
[25:36.78]  uno
[25:37.00]  cerca
[25:37.38]  y
[25:37.45]  hacelo
[25:37.91]  con
[25:38.11]  las
[25:38.33]  manos,
[25:38.86]  ensuciándose
[25:39.82]  los
[25:40.04]  dos,
[25:40.42]  sin
[25:40.63]  apuro,
[25:41.15]  sin
[25:41.37]  teléfono,
[25:42.18]  mirándose
[25:43.10]  a
[25:43.23]  la
[25:43.44]  cara.
[25:44.10]  Y
[25:44.23]  si
[25:44.49]  te
[25:44.74]  dieron
[25:45.54]  ganas
[25:46.19]  de
[25:46.48]  volver
[25:47.23]  a
[25:47.38]  cocinar,
[25:48.71]  ya
[25:48.77]  sabés
[25:49.22]  mi
[25:49.37]  amor,
[25:49.82]  ahí
[25:50.12]  abajo
[25:50.54]  en
[25:50.83]  la
[25:50.84]  descripción
[25:51.70]  está
[25:52.06]  la
[25:52.20]  guía
[25:52.72]  con
[25:52.76]  todas
[25:53.12]  estas
[25:53.52]  recetas
[25:53.97]  hecha
[25:54.34]  con
[25:54.54]  mis
[25:54.77]  manos
[25:55.10]  para
[25:55.38]  vos,
[25:55.82]  para
[25:55.82]  que
[25:56.07]  ninguno
[25:56.66]  de
[25:56.81]  estos
[25:57.22]  dulces
[25:57.84]  se
[25:57.88]  pierda
[25:58.37]  nunca
[25:58.78]  más.
[25:59.46]  Y
[25:59.52]  si
[25:59.72]  esto
[26:00.13]  te
[26:00.33]  emocionó,
[26:01.44]  quédate
[26:02.24]  en
[26:02.50]  la
[26:02.68]  cadena.
[26:03.50]  Ya
[26:03.64]  te
[26:03.78]  conté
[26:04.41]  las
[26:04.52]  meriendas
[26:05.04]  de
[26:05.19]  antes
[26:05.53]  y
[26:05.60]  los
[26:05.82]  postres
[26:06.34]  de
[26:06.49]  la
[26:06.64]  abuela,
[26:07.24]  esos
[26:07.54]  que
[26:07.78]  llenaban
[26:08.22]  las
[26:08.56]  mesas
[26:09.07]  de
[26:09.35]  fiesta.
[26:10.30]  Y
[26:10.38]  también
[26:11.06]  cómo
[26:11.49]  eran
[26:11.86]  los
[26:12.08]  domingos
[26:12.78]  de
[26:12.91]  antes,
[26:13.58]  esos
[26:13.83]  domingos
[26:14.21]  enteros
[26:14.60]  en
[26:14.76]  familia
[26:15.32]  que
[26:15.58]  ya
[26:15.73]  nadie
[26:16.12]  respeta
[26:16.68]  y
[26:16.76]  cómo
[26:17.16]  se
[26:17.32]  cocinaba
[26:17.99]  en
[26:18.12]  casa
[26:18.44]  antes
[26:18.88]  de
[26:19.00]  que
[26:19.24]  existieran
[26:20.21]  los
[26:20.43]  supermercados.
[26:21.53]  Son
[26:21.76]  todas
[26:22.32]  historias
[26:22.85]  de
[26:23.00]  la
[26:23.15]  misma
[26:23.54]  época,
[26:24.16]  de
[26:24.38]  la
[26:24.58]  misma
[26:24.91]  cocina,
[26:25.51]  de
[26:25.66]  la
[26:25.91]  misma
[26:26.22]  abuela
[26:26.56]  que
[26:27.25]  te
[26:27.71]  habla.
[26:29.56]  Gracias
[26:30.01]  por
[26:30.20]  sentarte
[26:30.84]  con
[26:30.90]  esta
[26:31.16]  vieja
[26:31.49]  a
[26:31.53]  recordar
[26:32.10]  lo
[26:32.25]  dulce.
[26:32.84]  Anda
[26:33.14]  hacia
[26:33.51]  algún
[26:34.12]  dulce
[26:34.39]  rico
[26:34.63]  para
[26:34.93]  alguien
[26:35.49]  que
[26:35.67]  quieras.
[26:36.41]  Y
[26:36.48]  guardale
[26:37.07]  siempre
[26:37.58]  el
[26:37.82]  pedacito
[26:38.34]  más
[26:38.55]  grande,
[26:39.04]  el
[26:39.16]  que
[26:39.34]  tenga
[26:39.84]  más
[26:39.90]  dulce
[26:40.20]  de
[26:40.32]  leche,
[26:40.78]  al
[26:40.87]  que
[26:41.05]  más
[26:41.30]  quieras
[26:41.73]  en
[26:41.89]  este
[26:42.10]  mundo.
[26:42.70]  Cuidate
[26:43.22]  mi
[26:43.29]  amor,
[26:43.69]  nos
[26:43.89]  vemos
[26:44.23]  en
[26:44.35]  el
[26:44.72]  próximo.
